State,County,State_FIPS,County_FIPS
Alabama,"Autauga County, Alabama",01,001
Alabama,"Baldwin County, Alabama",01,003
Alabama,"Barbour County, Alabama",01,005
Alabama,"Bibb County, Alabama",01,007
Alabama,"Blount County, Alabama",01,009
Alabama,"Bullock County, Alabama",01,011
Alabama,"Butler County, Alabama",01,013
Alabama,"Calhoun County, Alabama",01,015
Alabama,"Chambers County, Alabama",01,017
Alabama,"Cherokee County, Alabama",01,019
Alabama,"Chilton County, Alabama",01,021
Alabama,"Choctaw County, Alabama",01,023
Alabama,"Clarke County, Alabama",01,025
Alabama,"Clay County, Alabama",01,027
Alabama,"Cleburne County, Alabama",01,029
Alabama,"Coffee County, Alabama",01,031
Alabama,"Colbert County, Alabama",01,033
Alabama,"Conecuh County, Alabama",01,035
Alabama,"Coosa County, Alabama",01,037
Alabama,"Covington County, Alabama",01,039
Alabama,"Crenshaw County, Alabama",01,041
Alabama,"Cullman County, Alabama",01,043
Alabama,"Dale County, Alabama",01,045
Alabama,"Dallas County, Alabama",01,047
Alabama,"DeKalb County, Alabama",01,049
Alabama,"Elmore County, Alabama",01,051
Alabama,"Escambia County, Alabama",01,053
Alabama,"Etowah County, Alabama",01,055
Alabama,"Fayette County, Alabama",01,057
Alabama,"Franklin County, Alabama",01,059
Alabama,"Geneva County, Alabama",01,061
Alabama,"Greene County, Alabama",01,063
Alabama,"Hale County, Alabama",01,065
Alabama,"Henry County, Alabama",01,067
Alabama,"Houston County, Alabama",01,069
Alabama,"Jackson County, Alabama",01,071
Alabama,"Jefferson County, Alabama",01,073
Alabama,"Lamar County, Alabama",01,075
Alabama,"Lauderdale County, Alabama",01,077
Alabama,"Lawrence County, Alabama",01,079
Alabama,"Lee County, Alabama",01,081
Alabama,"Limestone County, Alabama",01,083
Alabama,"Lowndes County, Alabama",01,085
Alabama,"Macon County, Alabama",01,087
Alabama,"Madison County, Alabama",01,089
Alabama,"Marengo County, Alabama",01,091
Alabama,"Marion County, Alabama",01,093
Alabama,"Marshall County, Alabama",01,095
Alabama,"Mobile County, Alabama",01,097
Alabama,"Monroe County, Alabama",01,099
Alabama,"Montgomery County, Alabama",01,101
Alabama,"Morgan County, Alabama",01,103
Alabama,"Perry County, Alabama",01,105
Alabama,"Pickens County, Alabama",01,107
Alabama,"Pike County, Alabama",01,109
Alabama,"Randolph County, Alabama",01,111
Alabama,"Russell County, Alabama",01,113
Alabama,"Shelby County, Alabama",01,117
Alabama,"St. Clair County, Alabama",01,115
Alabama,"Sumter County, Alabama",01,119
Alabama,"Talladega County, Alabama",01,121
Alabama,"Tallapoosa County, Alabama",01,123
Alabama,"Tuscaloosa County, Alabama",01,125
Alabama,"Walker County, Alabama",01,127
Alabama,"Washington County, Alabama",01,129
Alabama,"Wilcox County, Alabama",01,131
Alabama,"Winston County, Alabama",01,133
Alaska,"Aleutians East Borough, Alaska",02,013
Alaska,"Aleutians West Census Area, Alaska",02,016
Alaska,"Anchorage Municipality, Alaska",02,020
Alaska,"Bethel Census Area, Alaska",02,050
Alaska,"Bristol Bay Borough, Alaska",02,060
Alaska,"Denali Borough, Alaska",02,068
Alaska,"Dillingham Census Area, Alaska",02,070
Alaska,"Fairbanks North Star Borough, Alaska",02,090
Alaska,"Haines Borough, Alaska",02,100
Alaska,"Hoonah-Angoon Census Area, Alaska",02,105
Alaska,"Juneau City and Borough, Alaska",02,110
Alaska,"Kenai Peninsula Borough, Alaska",02,122
Alaska,"Ketchikan Gateway Borough, Alaska",02,130
Alaska,"Kodiak Island Borough, Alaska",02,150
Alaska,"Kusilvak Census Area, Alaska",02,158
Alaska,"Lake and Peninsula Borough, Alaska",02,164
Alaska,"Matanuska-Susitna Borough, Alaska",02,170
Alaska,"Nome Census Area, Alaska",02,180
Alaska,"North Slope Borough, Alaska",02,185
Alaska,"Northwest Arctic Borough, Alaska",02,188
Alaska,"Petersburg Borough, Alaska",02,195
